CompoundID,Primary_Target_Assay,Primary_Target_Assay_BioActivity,TPSA,ClogP,LogD,Num_H_Donors,Num_H_Acceptors,Num_AromaticRings,F_SP3,Drug_Class,Cell Permeability,Cmpd Solubility (uM),fafg (Rat),Bioavailability (Rat),"Clint,mic (L/hr/kg) (Rat)",Molecular_Weight (amu)
CM-2144030,JAK1 EC50(uM),3.0,66.93,3.16,3.1197,1,6,3.0,0.35294,Class C,,,,,,327.36
CM-2151522,JAK1 EC50(uM),0.0361,49.22,1.749,0.9988,1,5,3.0,0.55556,Class C,33.7,112.0,,,10.3,365.4
CM-2191944,JAK1 EC50(uM),0.0902,49.22,1.784,-0.9455,1,5,3.0,0.6,Class C,16.7,33.0,,,9.77,355.45
CM-2277380,JAK1 EC50(uM),1.92,64.44,1.4,1.4,1,6,4.0,0.17647,Class C,37.6,12.0,,,2.5,308.33
CM-2167733,JAK1 EC50(uM),0.115,64.44,0.156,0.1555,1,6,3.0,0.52941,Class C,41.9,579.0,,,18.5,328.34
CM-2167276,JAK1 EC50(uM),0.839,132.55,2.567,2.4233,3,11,4.0,0.32143,Class C,13.6,21.0,,,2.5,599.65
CM-2014542,JAK1 EC50(uM),3.0,78.31,1.045,1.0446,2,7,3.0,0.4375,Class C,31.4,655.0,,,2.5,420.31
CM-2225174,JAK1 EC50(uM),0.05,67.68,1.344,1.1769,1,7,3.0,0.68,Class C,8.5,32.0,,,24.4,471.54
CM-2144031,JAK1 EC50(uM),3.0,73.83,3.036,2.9908,1,7,3.0,0.375,Class C,,,,,,363.34
CM-2268738,JAK1 EC50(uM),0.199,55.21,2.304,2.3042,1,5,3.0,0.6,Class C,29.8,9.0,,,32.5,336.43
CM-2152704,JAK1 EC50(uM),0.341,58.45,1.74,,1,6,3.0,0.61905,Class C,16.3,546.0,,,40.7,367.49
CM-2152708,JAK1 EC50(uM),0.018,58.45,1.441,,1,6,3.0,0.6,Class C,50.2,160.0,,,16.5,353.46
CM-2115537,JAK1 EC50(uM),0.507,58.87,1.081,1.0805,1,5,3.0,0.4,Class C,62.8,354.0,,,5.28,265.31
CM-2142517,JAK1 EC50(uM),0.0613,49.22,1.525,-0.8765,1,5,3.0,0.57895,Class C,22.4,183.0,,,12.5,359.42
CM-1987850,JAK1 EC50(uM),0.807,58.45,1.295,-1.249,1,6,3.0,0.6,Class C,26.7,727.0,,,20.2,353.46
CM-2144018,JAK1 EC50(uM),3.0,48.05,3.008,1.2115,1,5,3.0,0.4,Class C,,,,,,333.43
CM-2004329,JAK1 EC50(uM),0.103,58.45,0.983,0.9142,1,6,3.0,0.52941,Class C,48.0,350.0,,,15.9,349.38
CM-2008658,JAK1 EC50(uM),0.0929,49.22,1.044,0.9728,1,5,3.0,0.5,Class C,50.1,437.0,,,16.4,319.35
CM-1987855,JAK1 EC50(uM),0.458,49.22,2.098,-0.626,1,5,3.0,0.55556,Class C,30.9,368.0,,,11.6,311.42
CM-2276253,JAK1 EC50(uM),0.843,55.21,1.481,1.4805,1,5,4.0,0.125,Class C,43.8,29.0,,,2.5,278.31
CM-2152705,JAK1 EC50(uM),0.214,58.45,2.097,,1,6,3.0,0.63636,Class C,6.14,,,,26.7,381.51
CM-2149390,JAK1 EC50(uM),3.0,48.05,2.737,2.6859,1,5,2.0,0.64706,Class C,,,,,,335.39
CM-2114805,JAK1 EC50(uM),3.0,82.1,-0.765,-1.0243,2,6,2.0,0.5,Class C,,,,,,272.3
CM-2147920,JAK1 EC50(uM),0.0786,55.21,1.479,1.4782,1,5,3.0,0.41176,Class C,33.5,14.0,,,36.4,294.35
CM-2285513,JAK1 EC50(uM),0.00817,83.79,1.849,1.8493,2,7,4.0,0.33333,Class C,51.1,34.0,,,13.0,369.37
CM-2144025,JAK1 EC50(uM),3.0,65.03,2.603,2.5601,2,5,3.0,0.29412,Class C,,,,,,294.35
CM-2044459,JAK1 EC50(uM),3.0,63.27,2.404,2.4025,1,6,2.0,0.6,Class C,59.6,562.0,,,134.0,288.34
CM-2163478,JAK1 EC50(uM),0.0608,49.22,1.739,-0.5615,1,5,3.0,0.61905,Class C,15.9,77.0,,,2.5,385.45
CM-2162162,JAK1 EC50(uM),0.487,49.22,3.43,3.4291,1,5,3.0,0.61905,Class C,49.6,94.0,,,11.5,405.46
CM-2270830,JAK1 EC50(uM),3.0,57.2,-2.78,-2.7795,2,5,3.0,0.5,Class C,2.31,586.0,,,13.4,319.33
CM-2282970,JAK1 EC50(uM),0.00911,75.08,-0.09,-0.0899,2,6,3.0,0.47059,Class C,46.0,31.0,,,2.5,343.33
CM-2144029,JAK1 EC50(uM),3.0,54.04,3.04,3.0026,1,5,3.0,0.36842,Class C,,,,,,320.39
CM-2195946,JAK1 EC50(uM),0.0699,52.46,1.287,,1,6,,,Class C,43.1,12.0,,,2.5,338.33
CM-2262815,JAK1 EC50(uM),0.0668,69.77,1.941,1.9379,1,5,3.0,0.47059,Class C,,157.0,,,,329.35
CM-2015123,JAK1 EC50(uM),0.829,49.22,2.693,0.56,1,5,3.0,0.6,Class C,14.1,207.0,,,10.7,391.43
CM-2273257,JAK1 EC50(uM),0.346,55.21,1.497,1.3523,1,5,3.0,0.5,Class C,52.2,151.0,,,16.6,284.36
CM-1987012,JAK1 EC50(uM),0.0627,49.22,2.283,0.8434,1,5,3.0,0.47368,Class C,18.2,489.0,,,120.0,321.42
CM-1991686,JAK1 EC50(uM),0.0393,93.32,0.435,0.4343,1,8,3.0,0.54545,Class C,31.9,502.0,,,6.28,405.5
CM-2163480,JAK1 EC50(uM),0.0742,49.22,1.666,-0.8242,1,5,3.0,0.6,Class C,23.1,193.0,,,5.22,371.43
CM-1991685,JAK1 EC50(uM),0.0156,69.52,1.154,1.1533,1,7,3.0,0.59091,Class C,46.2,206.0,,,11.8,392.5
CM-2146824,JAK1 EC50(uM),3.0,62.63,2.283,2.2373,1,6,3.0,0.4375,Class C,,,,,,296.37
CM-2009409,JAK1 EC50(uM),3.0,70.9,-0.43,-3.5551,2,6,3.0,0.41667,Class C,2.05,,,,10.1,240.26
CM-1991687,JAK1 EC50(uM),0.0112,69.52,1.93,1.9295,1,7,3.0,0.57143,Class C,65.8,1.2,,,45.8,434.46
CM-2241325,JAK1 EC50(uM),3.0,38.36,3.393,2.659,0,5,3.0,0.61905,Class C,1.72,613.0,,,71.9,459.43
CM-2141334,JAK1 EC50(uM),0.0428,58.87,1.525,1.5251,1,5,3.0,0.4375,Class C,,94.0,,,12.0,279.34
CM-2235342,JAK1 EC50(uM),0.0471,55.21,1.011,0.9151,1,5,3.0,0.55556,Class C,45.6,78.0,,,22.4,344.36
CM-2141326,JAK1 EC50(uM),0.0958,55.73,1.042,1.0415,1,5,3.0,0.46667,Class C,,545.0,,,16.5,268.31
CM-2216781,JAK1 EC50(uM),0.0664,58.45,1.202,-0.2866,1,6,3.0,0.57895,Class C,44.1,126.0,,,2.5,375.42
CM-2236092,JAK1 EC50(uM),0.0484,58.45,1.263,0.963,1,6,3.0,0.57895,Class C,50.4,,,,14.3,375.42
CM-2170265,JAK1 EC50(uM),0.278,49.22,1.031,-1.1296,1,5,3.0,0.57895,Class C,,532.0,,,8.6,357.4
CM-2218530,JAK1 EC50(uM),0.237,49.22,1.803,-0.5549,1,5,3.0,0.61905,Class C,17.9,287.0,,,,385.45
CM-1991740,JAK1 EC50(uM),0.0649,93.32,-0.01,-0.0102,1,8,3.0,0.52381,Class C,,,,,,391.47
CM-2160521,JAK1 EC50(uM),0.156,49.22,1.847,0.5779,1,5,3.0,0.47368,Class C,19.0,46.0,,,18.8,357.4
CM-2003517,JAK1 EC50(uM),0.373,49.22,0.972,-0.8966,1,5,3.0,0.52941,Class C,33.3,506.0,,,23.3,331.36
CM-2144019,JAK1 EC50(uM),3.0,74.34,3.086,3.0395,1,7,3.0,0.38095,Class C,,,,,,377.44
CM-2228048,JAK1 EC50(uM),0.0119,64.44,2.192,2.1909,1,6,3.0,0.57895,Class C,40.3,193.0,,,72.9,378.42
CM-2122180,JAK1 EC50(uM),0.117,55.73,2.139,2.1384,1,5,3.0,0.44444,Class C,46.8,4.0,,,2.5,308.38
CM-2173165,JAK1 EC50(uM),0.09,82.24,0.479,0.4783,1,7,3.0,0.6087,Class C,50.8,60.3,,,2.5,438.47
CM-2172667,JAK1 EC50(uM),0.00978,75.44,0.273,0.2726,2,6,3.0,0.47368,Class C,46.7,12.0,,,35.9,336.39
CM-2148927,JAK1 EC50(uM),0.145,66.21,0.352,0.3507,2,5,3.0,0.46667,Class C,43.2,703.0,,,9.68,268.31
CM-2179510,JAK1 EC50(uM),0.291,52.46,0.677,0.6498,1,6,3.0,0.52941,Class C,50.3,303.0,,,25.8,346.38
CM-2141328,JAK1 EC50(uM),0.0476,55.73,1.687,1.687,1,5,3.0,0.52941,Class C,46.6,556.0,,,22.9,296.37
CM-2160515,JAK1 EC50(uM),0.4,62.11,1.166,0.0144,1,6,3.0,0.5,Class C,50.8,187.0,,,13.0,358.39
CM-2136586,JAK1 EC50(uM),0.0632,75.96,2.443,2.4426,2,6,3.0,0.6,Class C,37.5,553.0,,,8.72,354.45
CM-2152682,JAK1 EC50(uM),0.173,58.45,1.318,,1,6,3.0,0.61905,Class C,49.8,601.0,,,10.6,365.47
CM-2232244,JAK1 EC50(uM),0.0513,58.45,1.803,1.6842,1,6,3.0,0.57895,Class C,21.5,559.0,,,12.9,373.4
CM-2114801,JAK1 EC50(uM),3.0,44.81,2.064,2.0175,1,4,2.0,0.53846,Class C,,,,,,264.27
CM-2148015,JAK1 EC50(uM),0.0177,66.21,0.352,0.3507,2,5,3.0,0.46667,Class C,39.8,566.0,,,13.9,268.31
CM-2264294,JAK1 EC50(uM),3.0,70.09,-1.697,-1.6966,2,6,3.0,0.53333,Class C,1.56,511.0,,,9.51,320.32
CM-2226957,JAK1 EC50(uM),0.0312,75.44,0.16,0.1599,2,6,3.0,0.52941,Class C,52.2,303.0,,,10.4,312.37
CM-2206882,JAK1 EC50(uM),0.389,49.22,2.116,2.0203,1,5,3.0,0.55556,Class C,46.0,303.0,,,10.5,345.39
CM-2114809,JAK1 EC50(uM),3.0,54.04,1.526,1.4849,1,5,2.0,0.45455,Class C,,,,,,254.24
CM-2045479,JAK1 EC50(uM),0.327,66.41,3.697,3.1234,1,7,2.0,0.55,Class C,0.296,553.0,,,20.1,386.47
CM-2019080,JAK1 EC50(uM),0.195,52.46,0.907,-0.6045,1,6,3.0,0.6,Class C,12.7,382.0,,,2.5,350.46
CM-2282308,JAK1 EC50(uM),0.0623,58.34,2.046,1.6031,1,6,2.0,0.5,Class C,,344.0,,,21.6,390.46
CM-2008888,JAK1 EC50(uM),3.0,88.41,0.311,0.3109,1,8,3.0,0.52941,Class C,42.6,468.0,,,9.85,340.38
CM-2036130,JAK1 EC50(uM),0.057,79.09,0.896,0.8955,2,6,3.0,0.5625,Class C,33.9,524.0,,,4.33,299.37
CM-2146822,JAK1 EC50(uM),3.0,65.03,2.603,2.5601,2,5,3.0,0.29412,Class C,,,,,,294.35
CM-2044148,JAK1 EC50(uM),0.298,49.22,1.081,1.0773,1,5,3.0,0.5,Class C,33.2,103.0,,,18.8,353.32
CM-2261600,JAK1 EC50(uM),0.325,49.22,0.563,0.5571,1,5,3.0,0.42857,Class C,54.1,169.0,,,6.87,289.28
CM-2216782,JAK1 EC50(uM),0.0812,58.45,1.202,-0.2866,1,6,3.0,0.57895,Class C,44.4,284.0,,,2.5,375.42
CM-2144024,JAK1 EC50(uM),3.0,82.19,2.045,2.0011,1,7,3.0,0.25,Class C,,,,,,361.39
CM-2248988,JAK1 EC50(uM),0.517,49.22,0.58,0.5747,1,5,3.0,0.42857,Class C,56.8,431.0,,,14.8,271.29
CM-2151276,JAK1 EC50(uM),3.0,55.21,1.223,1.2219,1,5,3.0,0.44444,Class C,32.7,146.0,,,17.6,306.36
CM-2236093,JAK1 EC50(uM),0.0571,58.45,0.896,0.5614,1,6,3.0,0.6,Class C,55.7,560.0,,,72.2,385.41
CM-2040591,JAK1 EC50(uM),3.0,76.16,1.573,1.5711,1,7,2.0,0.64286,Class C,58.3,492.0,,,26.8,289.33
CM-2180790,JAK1 EC50(uM),1.29,49.22,1.558,0.2551,1,5,3.0,0.5,Class C,48.7,206.0,,,26.3,337.34
CM-2232243,JAK1 EC50(uM),0.0855,58.01,1.781,-0.4254,2,5,3.0,0.57895,Class C,13.2,418.0,,,60.0,357.4
CM-2217637,JAK1 EC50(uM),0.00958,49.22,1.871,0.6406,1,5,3.0,0.6,Class C,10.2,137.0,,,12.7,371.43
CM-2033831,JAK1 EC50(uM),3.0,62.11,1.493,-0.1293,1,6,3.0,0.63158,Class C,6.51,550.0,,,13.0,338.45
CM-2162081,JAK1 EC50(uM),0.103,49.22,1.97,-0.4696,1,5,3.0,0.6,Class C,20.9,105.0,,,18.5,373.44
CM-2285732,JAK1 EC50(uM),0.0288,83.79,1.622,1.6223,2,7,4.0,0.33333,Class C,50.4,96.0,,,2.5,351.38
CM-2236095,JAK1 EC50(uM),0.5,67.68,0.219,0.0494,1,7,3.0,0.52941,Class C,53.8,463.0,,,13.6,365.38
CM-2152694,JAK1 EC50(uM),0.0359,58.45,1.031,,1,6,3.0,0.61905,Class C,39.0,521.0,,,16.9,365.47
CM-1991738,JAK1 EC50(uM),0.173,72.76,-0.038,-0.157,1,8,3.0,0.55,Class C,11.5,333.0,,,2.5,381.47
CM-2229553,JAK1 EC50(uM),0.158,49.22,1.961,-0.5637,1,5,3.0,0.6,Class C,31.2,303.0,,,12.5,335.45
CM-1990867,JAK1 EC50(uM),0.0197,75.52,0.642,0.6419,1,7,3.0,0.4375,Class C,60.4,462.0,,,2.5,349.34
CM-2003775,JAK1 EC50(uM),0.0382,75.52,1.009,1.0086,1,7,3.0,0.47059,Class C,38.3,143.0,,,12.2,363.36
CM-2236090,JAK1 EC50(uM),0.302,58.45,1.699,1.642,1,6,3.0,0.52941,Class C,60.5,93.0,,,5.43,367.37
CM-2279807,JAK1 EC50(uM),0.0532,83.79,1.229,1.2283,2,7,4.0,0.33333,Class C,49.2,164.0,,,13.2,351.38
CM-2152678,JAK1 EC50(uM),0.285,58.45,1.144,,1,6,3.0,0.55556,Class C,37.8,,,,9.32,327.42
CM-2165947,JAK1 EC50(uM),1.28,49.22,1.897,0.716,1,5,3.0,0.55556,Class C,16.5,,,,80.0,363.38
CM-2151898,JAK1 EC50(uM),0.0908,55.21,2.13,2.1295,1,5,3.0,0.52941,Class C,24.7,17.0,,,149.0,298.38
CM-2145548,JAK1 EC50(uM),0.0827,49.74,2.334,-0.2494,1,5,3.0,0.57895,Class C,39.0,109.0,,,,359.42
CM-2206880,JAK1 EC50(uM),3.0,58.45,1.354,-1.5274,1,6,3.0,0.61905,Class C,,303.0,,,2.5,365.47
CM-2280480,JAK1 EC50(uM),0.12,83.79,0.267,0.2666,2,7,4.0,0.29412,Class C,53.2,1.0,,,,317.35
CM-2144023,JAK1 EC50(uM),3.0,62.63,2.048,1.9968,1,6,3.0,0.25,Class C,,,,,,278.26
CM-2002402,JAK1 EC50(uM),0.14,49.22,1.844,0.1065,1,5,3.0,0.52941,Class C,14.4,535.0,,,19.0,351.37
CM-2144036,JAK1 EC50(uM),3.0,57.28,2.859,2.814,1,6,3.0,0.33333,Class C,,,,,,323.39
CM-2210158,JAK1 EC50(uM),0.0796,49.22,2.453,2.4523,1,5,3.0,0.6,Class C,38.1,10.4,,,,371.43
CM-2070342,JAK1 EC50(uM),3.0,48.05,4.069,4.0221,1,5,2.0,0.68421,Class C,1.02,7.0,,,263.0,381.44
CM-2232242,JAK1 EC50(uM),0.0834,49.22,1.303,0.3914,1,5,3.0,0.6,Class C,18.8,561.0,,,72.6,369.41
CM-2162277,JAK1 EC50(uM),0.116,58.45,0.742,-1.8683,1,6,3.0,0.6,Class C,36.1,283.0,,,4.47,351.45
CM-2154736,JAK1 EC50(uM),0.0615,49.74,2.743,2.7426,1,5,3.0,0.57895,Class C,49.5,197.0,,,19.1,377.41
CM-2236112,JAK1 EC50(uM),0.674,58.45,0.897,0.6449,1,6,3.0,0.55556,Class C,54.5,457.0,,,11.9,361.39
CM-2152680,JAK1 EC50(uM),0.127,49.22,2.123,,1,5,3.0,0.61905,Class C,7.02,289.0,,,16.0,349.47
CM-2040613,JAK1 EC50(uM),0.584,58.87,0.659,0.6593,1,5,3.0,0.46154,Class C,78.5,262.0,,,6.41,239.28
CM-2152684,JAK1 EC50(uM),0.0894,58.45,0.872,,1,6,3.0,0.6,Class C,40.6,605.0,,,12.6,351.45
CM-2013883,JAK1 EC50(uM),0.377,49.22,2.416,-0.5365,1,5,3.0,0.6,Class C,26.4,595.0,,,55.7,337.46
CM-1998545,JAK1 EC50(uM),0.0914,75.52,0.693,0.6923,1,7,3.0,0.38889,Class C,49.0,464.0,,,13.8,337.38
CM-2222356,JAK1 EC50(uM),0.116,58.87,1.039,1.0395,1,5,3.0,0.53333,Class C,66.6,171.0,,,2.5,303.31
CM-2222357,JAK1 EC50(uM),0.0392,68.1,1.902,1.902,1,6,3.0,0.65,Class C,42.3,134.0,,,2.5,351.45
CM-2166356,JAK1 EC50(uM),0.191,49.22,1.597,-0.9514,1,5,3.0,0.61905,Class C,12.1,,,,7.75,385.45
CM-2078990,JAK1 EC50(uM),0.14,55.73,1.273,1.2733,1,5,3.0,0.42857,Class C,64.1,511.0,,,16.6,256.3
CM-2241310,JAK1 EC50(uM),0.8,49.22,1.575,0.3003,1,5,3.0,0.57895,Class C,33.7,219.0,,,24.0,357.4
CM-2222355,JAK1 EC50(uM),0.0318,68.1,1.325,1.3254,1,6,3.0,0.58824,Class C,59.7,303.0,,,12.0,345.35
CM-2222549,JAK1 EC50(uM),0.0796,55.21,3.313,3.3126,1,5,3.0,0.63636,Class C,1.35,5.2,,,5.43,418.46
CM-2216375,JAK1 EC50(uM),3.0,72.0,0.758,-1.7648,3,5,3.0,0.5,Class C,,375.0,,,2.5,315.8
CM-2263068,JAK1 EC50(uM),3.0,52.46,2.574,0.7149,1,6,3.0,0.63636,Class C,,,,,,432.49
CM-2021176,JAK1 EC50(uM),0.088,66.21,0.895,0.8941,2,5,3.0,0.46667,Class C,37.3,286.0,,,7.51,270.33
CM-1991744,JAK1 EC50(uM),0.343,78.75,-0.869,-0.8696,1,8,3.0,0.52632,Class C,3.72,547.0,,,4.16,366.42
CM-2003140,JAK1 EC50(uM),0.376,62.11,1.086,1.0863,1,6,3.0,0.53333,Class C,45.7,493.0,,,12.4,338.33
CM-2268821,JAK1 EC50(uM),0.985,55.21,0.667,0.6671,1,5,3.0,0.46667,Class C,,,,,,286.3
CM-2016837,JAK1 EC50(uM),3.0,55.21,0.299,0.2987,1,5,3.0,0.33333,Class C,56.1,,,,4.08,228.25
CM-2182936,JAK1 EC50(uM),0.0369,45.98,1.482,1.4813,1,4,3.0,0.33333,Class C,31.5,49.0,,,10.3,286.28
CM-2118981,JAK1 EC50(uM),0.0298,55.21,2.493,2.4923,1,5,3.0,0.52941,Class C,37.2,40.0,,,11.2,352.35
CM-2108968,JAK1 EC50(uM),0.0342,55.21,2.376,2.3751,1,5,3.0,0.55556,Class C,22.5,,,,2.5,366.38
CM-1991689,JAK1 EC50(uM),0.119,78.75,-0.425,-0.425,1,8,3.0,0.55,Class C,5.65,751.0,,,4.1,380.44
CM-2004126,JAK1 EC50(uM),0.713,49.22,1.549,-0.2652,1,5,3.0,0.52941,Class C,20.7,333.0,,,58.2,333.38
CM-2008877,JAK1 EC50(uM),1.14,55.21,0.269,0.2689,1,5,3.0,0.23077,Class C,74.6,512.0,,,6.38,240.26
CM-2044972,JAK1 EC50(uM),0.0715,49.22,2.133,2.1319,1,5,3.0,0.55556,Class C,45.6,431.0,,,14.8,345.39
CM-2040583,JAK1 EC50(uM),3.0,76.16,1.573,1.5711,1,7,2.0,0.64286,Class C,55.0,586.0,,,78.7,289.33
CM-2066883,JAK1 EC50(uM),0.0141,55.21,2.275,2.2738,1,5,3.0,0.55556,Class C,45.4,102.0,,,29.7,348.39
CM-1999402,JAK1 EC50(uM),0.235,49.22,1.972,0.6104,1,5,3.0,0.52941,Class C,15.8,445.0,,,94.6,351.37
CM-2279801,JAK1 EC50(uM),0.0981,58.87,2.464,2.464,1,5,3.0,0.61111,Class C,43.3,336.0,,,20.3,347.41
CM-2177766,JAK1 EC50(uM),0.0268,49.22,1.558,0.2551,1,5,3.0,0.5,Class C,40.8,266.0,,,7.68,337.34
CM-2180290,JAK1 EC50(uM),1.05,72.28,0.756,0.7557,1,6,3.0,0.4,Class C,23.2,25.0,,,,318.28
CM-2036118,JAK1 EC50(uM),3.0,62.11,0.744,0.7439,1,6,3.0,0.53333,Class C,52.2,85.0,,,2.92,336.32
CM-2206407,JAK1 EC50(uM),0.0645,55.21,2.681,2.6807,1,5,3.0,0.65217,Class C,5.33,,,,16.9,412.48
CM-2215592,JAK1 EC50(uM),0.26,81.5,0.453,0.4526,1,7,3.0,0.47059,Class C,58.3,306.0,,,51.2,326.35
CM-2113383,JAK1 EC50(uM),0.0273,55.21,2.389,2.3885,1,5,3.0,0.55556,Class C,23.3,95.0,,,63.7,312.41
CM-2113384,JAK1 EC50(uM),0.0577,55.21,2.389,2.3885,1,5,3.0,0.55556,Class C,22.8,,,,38.1,312.41
CM-2020769,JAK1 EC50(uM),0.54,62.11,0.578,0.5761,1,6,3.0,0.53333,Class C,53.3,11.0,,,,354.31
CM-2079696,JAK1 EC50(uM),0.0293,69.44,1.821,0.9984,2,6,3.0,0.63636,Class C,34.5,152.0,,,17.7,379.5
CM-2194422,JAK1 EC50(uM),0.017,55.21,1.736,1.7355,1,5,3.0,0.55556,Class C,49.6,30.0,,,6.01,346.37
CM-2143722,JAK1 EC50(uM),0.0222,66.21,1.215,1.2144,2,5,3.0,0.52941,Class C,56.3,467.0,,,25.2,296.37
CM-2206409,JAK1 EC50(uM),0.0864,55.21,2.653,2.6526,1,5,3.0,0.6,Class C,22.7,10.0,,,2.5,372.41
CM-2007031,JAK1 EC50(uM),0.366,55.21,0.411,0.4111,1,5,3.0,0.23077,Class C,56.7,544.0,,,18.2,240.26
CM-2012707,JAK1 EC50(uM),1.7,55.21,-0.02,-0.0198,1,5,3.0,0.16667,Class C,69.4,484.0,,,5.45,226.23
CM-2044980,JAK1 EC50(uM),0.764,62.11,0.825,0.8239,1,6,3.0,0.53333,Class C,42.5,7.0,,,,390.29
CM-2114791,JAK1 EC50(uM),3.0,65.12,2.225,2.1799,1,6,2.0,0.61111,Class C,,,,,,327.42
CM-2219563,JAK1 EC50(uM),0.0255,55.21,1.785,1.784,1,5,3.0,0.57895,Class C,49.7,37.8,,,66.6,342.41
CM-2079697,JAK1 EC50(uM),0.154,69.44,1.821,0.9984,2,6,3.0,0.63636,Class C,28.1,361.0,,,18.3,379.5
CM-2157702,JAK1 EC50(uM),0.148,66.21,0.771,0.7699,2,5,3.0,0.5,Class C,50.9,156.0,,,7.1,282.34
CM-2241309,JAK1 EC50(uM),0.229,49.22,1.575,0.3003,1,5,3.0,0.57895,Class C,30.3,191.0,,,27.3,357.4
CM-2018309,JAK1 EC50(uM),0.0131,79.52,1.106,1.106,1,6,3.0,0.4375,Class C,29.4,592.0,,,5.85,295.34
CM-2277404,JAK1 EC50(uM),0.25,66.21,0.298,0.2978,2,5,3.0,0.46667,Class C,,113.0,,,7.46,268.31
CM-2194431,JAK1 EC50(uM),0.0492,58.01,1.849,-0.9669,2,5,3.0,0.6,Class C,18.3,609.0,,,33.9,371.43
CM-2118252,JAK1 EC50(uM),3.0,57.28,2.824,2.0283,1,6,2.0,0.7,Class C,,,,,,355.48
CM-2149389,JAK1 EC50(uM),0.527,49.22,2.141,2.1125,1,5,3.0,0.55556,Class C,35.4,55.0,,,9.7,383.39
CM-2152695,JAK1 EC50(uM),0.0433,67.68,0.568,,1,7,3.0,0.57895,Class C,,,,,,355.43
CM-2166343,JAK1 EC50(uM),0.456,49.22,2.947,0.5239,1,5,3.0,0.66667,Class C,0.653,6.0,,,51.9,425.52
CM-2157503,JAK1 EC50(uM),0.0295,55.21,1.237,1.2359,1,5,3.0,0.57895,Class C,25.3,,,,121.0,358.39
CM-2152698,JAK1 EC50(uM),0.0285,49.22,2.107,,1,5,3.0,0.5,Class C,,,,,,333.43
CM-2157502,JAK1 EC50(uM),0.0779,68.1,0.488,0.488,1,6,3.0,0.53333,Class C,,,,,,319.31
CM-2175587,JAK1 EC50(uM),0.0645,36.33,2.336,-0.3177,1,4,3.0,0.55,Class C,8.29,21.0,,,3810.0,358.43
CM-2282061,JAK1 EC50(uM),0.115,70.9,0.998,-0.2774,2,6,4.0,0.31579,Class C,45.4,101.0,,,38.9,348.38
CM-2157720,JAK1 EC50(uM),0.0509,49.22,2.318,-0.1813,1,5,3.0,0.61905,Class C,11.8,23.0,,,91.0,387.47
CM-2174001,JAK1 EC50(uM),0.00597,64.44,0.426,0.4251,1,6,3.0,0.55556,Class C,55.0,615.0,,,16.7,324.38
CM-2114795,JAK1 EC50(uM),0.00577,48.05,1.275,0.9066,1,5,2.0,0.53846,Class C,49.4,571.0,,,14.7,261.3
CM-2228046,JAK1 EC50(uM),0.0141,45.98,2.06,2.0588,1,4,3.0,0.5,Class C,37.1,53.0,,,33.6,304.34
CM-2166355,JAK1 EC50(uM),0.0931,49.22,1.994,-0.4822,1,5,3.0,0.61905,Class C,6.9,156.0,,,14.2,385.45
CM-2285735,JAK1 EC50(uM),0.155,58.01,1.238,-0.4224,2,5,3.0,0.52941,Class C,,361.0,,,7.18,333.38
CM-2165525,JAK1 EC50(uM),0.442,49.22,1.677,1.2451,1,5,3.0,0.375,Class C,45.0,330.0,,,,335.33
CM-2281842,JAK1 EC50(uM),0.0939,70.9,2.56,2.5592,2,6,4.0,0.31579,Class C,12.4,5.0,,,2.5,411.3
CM-2038636,JAK1 EC50(uM),0.901,63.27,2.385,2.3396,1,6,2.0,0.6,Class C,53.6,495.0,,,76.1,288.34
CM-2122651,JAK1 EC50(uM),0.0565,75.96,1.623,1.6216,2,6,3.0,0.46667,Class C,31.9,488.0,,,12.6,340.3
CM-2268820,JAK1 EC50(uM),1.23,55.21,0.556,0.5548,1,5,3.0,0.46667,Class C,,,,,,286.3
CM-2280889,JAK1 EC50(uM),2.63,79.09,1.257,1.257,2,6,4.0,0.35,Class C,41.1,61.0,,,64.2,363.39
CM-2114810,JAK1 EC50(uM),3.0,57.28,2.14,1.6365,1,6,2.0,0.66667,Class C,,,,,,329.44
CM-2220384,JAK1 EC50(uM),0.0891,55.21,2.378,2.3779,1,5,3.0,0.61905,Class C,,,,,,404.43
CM-2231126,JAK1 EC50(uM),3.0,69.25,3.864,3.8633,0,6,4.0,0.3913,Class C,,,,,35.9,499.42
CM-2216238,JAK1 EC50(uM),0.265,49.22,2.994,1.0938,1,5,3.0,0.63636,Class C,,5.0,,,,399.48
CM-2206876,JAK1 EC50(uM),3.0,58.45,1.335,-0.7831,1,6,3.0,0.6,Class C,36.0,556.0,,,4.92,353.46
CM-2159272,JAK1 EC50(uM),0.0104,55.21,0.785,0.7848,1,5,3.0,0.52941,Class C,39.2,299.0,,,149.0,314.36
CM-2216240,JAK1 EC50(uM),0.0431,58.01,2.67,0.3679,2,5,3.0,0.61905,Class C,,85.2,,,,385.45
CM-2216242,JAK1 EC50(uM),0.0766,58.45,1.713,0.6287,1,6,3.0,0.63636,Class C,,133.0,,,,377.48
CM-2191958,JAK1 EC50(uM),0.0132,58.45,1.697,-0.8811,1,6,3.0,0.6,Class C,,,,,,389.44
CM-2216247,JAK1 EC50(uM),0.136,49.22,2.745,0.3372,1,5,3.0,0.65217,Class C,,85.9,,,,413.51
